city,lat,lon,category,name,source
Cotonou,6.3606217,2.4341158,restaurant,Ste louisienne Chez Aida,OSM
Cotonou,6.3802702,2.4393172,hotel,Peace Hôtel,OSM
Cotonou,6.3779061,2.3795707,hotel,QUALIMAX HOTEL,OSM
Cotonou,6.3777289,2.3790168,hotel,QUALIMAX Hôtel - Salle de fête et conférence,OSM
Cotonou,6.35871,2.4279131,restaurant,Boss Stop,OSM
Cotonou,6.3591985,2.4286638,pharmacy,Mahuena,OSM
Cotonou,6.3589976,2.4276076,school,École Maternelle Publique Gbéto Cotonou Lagune,OSM
Cotonou,6.3567557,2.4378603,restaurant,pizzeria chez dody,OSM
Cotonou,6.3552865,2.4173495,restaurant,Ci gusta !,OSM
Cotonou,6.3670433,2.4359976,school,Ecole primaire publique nouveau pont,OSM
Cotonou,6.3553373,2.3934755,restaurant,La bouffe du roi,OSM
Cotonou,6.3541409,2.3988459,restaurant,Shamiana,OSM
Cotonou,6.353706,2.3883681,hotel,Best Western Plus,OSM
Cotonou,6.354275,2.3991824,restaurant,Ruski Dom,OSM
Cotonou,6.353733,2.398878,restaurant,Le trésor,OSM
Cotonou,6.3773395,2.3822363,restaurant,Maquis bar le cheval blanc,OSM
Cotonou,6.3632749,2.4121567,restaurant,restaurant_unnamed,OSM
Cotonou,6.3636613,2.4118992,school,Centre de formation professionnelle des enseignants de la maternelle et du primaire,OSM
Cotonou,6.3769857,2.422346,restaurant,La Congolaise,OSM
Cotonou,6.3658935,2.4830649,school,Complexe Scolaire Privée BEL AVENIR,OSM
Cotonou,6.3619469,2.4824264,hotel,Hotel Paloma,OSM
Cotonou,6.3568898,2.4004427,restaurant,Luvulu,OSM
Cotonou,6.3553208,2.4046083,hotel,Résidence Iléfiè,OSM
Cotonou,6.367613,2.4054176,hotel,Petit Père,OSM
Cotonou,6.3628469,2.402929,hotel,Le Flamboyant Résidence,OSM
Cotonou,6.3645771,2.4023234,pharmacy,Ste Philomène,OSM
Cotonou,6.3571701,2.3928254,restaurant,Régal Végétarien,OSM
Cotonou,6.3596035,2.3930633,restaurant,Queen Kong,OSM
Cotonou,6.3567566,2.4300979,hotel,Hôtel Nicolif,OSM
Cotonou,6.3716728,2.4338282,pharmacy,Nouvelle pharmacie Dantokpa,OSM
Cotonou,6.3540436,2.4174195,restaurant,Bangkok Terrasse,OSM
Cotonou,6.3759855,2.3611734,school,École Primaire Publique Agongbomey,OSM
Cotonou,6.3801798,2.3639219,pharmacy,Pharmacie St Étienne d'Agla,OSM
Cotonou,6.3597596,2.398826,restaurant,Le Noir,OSM
Cotonou,6.3602205,2.3985804,restaurant,Dody's,OSM
Cotonou,6.3844965,2.3737763,restaurant,Chez Angeo Attieke poisson braisée,OSM
Cotonou,6.3498053,2.3655613,restaurant,Resto plage,OSM
Cotonou,6.3604172,2.3769126,hotel,Hotel Akwaba,OSM
Cotonou,6.3857213,2.3834148,restaurant,Restaurant Sublime,OSM
Cotonou,6.3550506,2.4209558,restaurant,Le Forum,OSM
Cotonou,6.364639,2.4299428,school,school_unnamed,OSM
Cotonou,6.3561679,2.4155894,restaurant,Bar-restau « Les copains d’abord »,OSM
Cotonou,6.3931238,2.3635378,school,École Primaire Privee Mixte Vizalode,OSM
Cotonou,6.3656864,2.4269321,school,Complexe Scolaires Saint Augustin,OSM
Cotonou,6.3693008,2.4204969,restaurant,Chez Bandera,OSM
Cotonou,6.3560335,2.41454,pharmacy,Pediatrie HIA,OSM
Cotonou,6.3553811,2.4146914,pharmacy,Pharmacie,OSM
Cotonou,6.3514761,2.4210681,atm,Ecobank,OSM
Cotonou,6.3665553,2.4006434,school,Complexe scolaire ABOUBAKAR,OSM
Cotonou,6.3597706,2.4225319,restaurant,Maquis Pili-Pili,OSM
Cotonou,6.3528132,2.4374312,restaurant,l'imprévu,OSM
Cotonou,6.3577974,2.371378,restaurant,Chez Kadi,OSM
Cotonou,6.3620095,2.3753281,hotel,Residence Hotel Ife et Ola,OSM
Cotonou,6.3770123,2.4066048,hotel,Capricorne,OSM
Cotonou,6.3571687,2.4349168,hotel,Chevalier,OSM
Cotonou,6.390683,2.4322235,school,École Primaire Communautaire Espoir pour un Enfant,OSM
Cotonou,6.3751211,2.3668843,school,Ecole Primaire Plublique Agla Sud,OSM
Cotonou,6.3742441,2.4217374,hotel,hotel_unnamed,OSM
Cotonou,6.3745694,2.3915312,restaurant,Loving Hut,OSM
Cotonou,6.3739318,2.4216343,hotel,hotel_unnamed,OSM
Cotonou,6.3769877,2.3952301,restaurant,Vegetalien Peace Food,OSM
Cotonou,6.3670428,2.420072,pharmacy,Para Pharmacie Adechina,OSM
Cotonou,6.3674883,2.4290317,restaurant,Les Grillades d'Ayinkè,OSM
Cotonou,6.3905948,2.4291618,school,École Maternelle Privée Espace Éveil,OSM
Cotonou,6.3887203,2.4321187,restaurant,"Cafeteriat ""Chez Jérôme""",OSM
Cotonou,6.3924713,2.4282795,school,Centre Prescolaire des Soeurs Salesiennes de don Bosco,OSM
Cotonou,6.3624634,2.4227196,restaurant,Chez Maman Benin,OSM
Cotonou,6.3541097,2.4208976,restaurant,La Residence,OSM
Cotonou,6.3892494,2.4306314,school,CS le Chandelier du Jardin Emergent,OSM
Cotonou,6.3565477,2.4341613,restaurant,Acropole,OSM
Cotonou,6.356793,2.3910518,restaurant,Le Teranga,OSM
Cotonou,6.3567946,2.3917404,restaurant,Tandoori Nights,OSM
Cotonou,6.3566891,2.3926978,restaurant,La Plancha,OSM
Cotonou,6.3814077,2.4406244,hotel,Hôtel Affah,OSM
Cotonou,6.3829063,2.4172274,pharmacy,pharmacy_unnamed,OSM
Cotonou,6.3630537,2.3995215,hotel,Home Résidence Hôtel,OSM
Cotonou,6.3894879,2.3811793,school,Csp Félix Houphouët-Boigny,OSM
Cotonou,6.3537228,2.3752012,school,Les Lauriers,OSM
Cotonou,6.3879967,2.3759101,pharmacy,Pharmacopée chinoise,OSM
Cotonou,6.3881187,2.3762065,driving_school,Auto-Ecole Le rookey,OSM
Cotonou,6.3875872,2.3742911,restaurant,Bar-restau le Classic,OSM
Cotonou,6.3721447,2.416103,school,Epp Binazon,OSM
Cotonou,6.3718864,2.4155939,school,Complexe scolaire Nord-Sud,OSM
